Keyword,Score,Chapter,Author
kepadamu,40.567099999999996,2,Google Translate
allah,35.51939999999999,2,Google Translate
tuhanmu,34.77040000000001,2,Google Translate
niscaya,25.405199999999997,2,Google Translate
kebenaran,22.501499999999997,2,Google Translate
barangsiapa,22.241999999999997,2,Google Translate
petunjuk,19.9995,2,Google Translate
ayat,18.146499999999996,2,Google Translate
zalim,17.612000000000002,2,Google Translate
kecuali,9.431399999999998,2,Google Translate
kepadamu,25.37430000000001,3,Google Translate
sesungguhnya,24.598999999999993,3,Google Translate
allah,20.670400000000004,3,Google Translate
niscaya,16.6665,3,Google Translate
bertakwa,13.107600000000003,3,Google Translate
rasul,12.531999999999998,3,Google Translate
ayat,8.014200000000002,3,Google Translate
kafir,7.884199999999999,3,Google Translate
barangsiapa,7.3911,3,Google Translate
keridhaan,5.606399999999999,3,Google Translate
barangsiapa,18.072500000000005,4,Google Translate
kepadamu,14.8515,4,Google Translate
jalan,13.320999999999998,4,Google Translate
rasul,11.770000000000001,4,Google Translate
kecuali,10.2264,4,Google Translate
allah,7.3046,4,Google Translate
niscaya,6.0855,4,Google Translate
petunjuk,5.828400000000001,4,Google Translate
memperoleh,4.3155,4,Google Translate
jahannam,4.0785,4,Google Translate
rasul,4.936800000000001,5,Google Translate
ayat,4.6122,5,Google Translate
permusuhan,3.7798,5,Google Translate
nasrani,3.3997999999999995,5,Google Translate
niscaya,3.3722,5,Google Translate
haram,2.8638000000000003,5,Google Translate
taurat,2.5141999999999998,5,Google Translate
berbuat,2.4694,5,Google Translate
menimpakan,2.458,5,Google Translate
beriman,2.3221000000000003,5,Google Translate
rasul,12.607999999999999,9,Google Translate
kecuali,6.839199999999998,9,Google Translate
berjihad,6.237000000000001,9,Google Translate
memerangi,5.8845,9,Google Translate
niscaya,5.7675,9,Google Translate
azab,4.2398,9,Google Translate
kepadamu,4.2142,9,Google Translate
mengampuni,3.5126,9,Google Translate
sesungguhnya,2.417,9,Google Translate
beriman,2.219,9,Google Translate
ayat,4.8963,24,Google Translate
kepadamu,2.5608,24,Google Translate
aurat,2.177,24,Google Translate
salat,1.9906000000000001,24,Google Translate
allah,1.5651,24,Google Translate
niscaya,1.4211999999999998,24,Google Translate
sesungguhnya,1.3409000000000002,24,Google Translate
air,1.315,24,Google Translate
izin,1.0724,24,Google Translate
kehendaki,1.0329,24,Google Translate
rasul,6.094799999999999,33,Google Translate
bertakwalah,5.4605999999999995,33,Google Translate
kecuali,3.5226,33,Google Translate
allah,3.5065999999999997,33,Google Translate
pengampun,3.1096,33,Google Translate
niscaya,2.833,33,Google Translate
menaati,2.3021999999999996,33,Google Translate
kebenaran,1.5302,33,Google Translate
kepadamu,1.4778,33,Google Translate
kafir,1.46,33,Google Translate
menghalangi,2.0212,47,Google Translate
kejahatannya,1.5048,47,Google Translate
bertakwa,1.2543,47,Google Translate
penyakit,1.2486,47,Google Translate
hatinya,1.1268,47,Google Translate
beriman,1.1055000000000001,47,Google Translate
kafir,0.9032,47,Google Translate
membinasakan,0.8494999999999999,47,Google Translate
allah,0.8322,47,Google Translate
bukti,0.8028000000000001,47,Google Translate
kepadamu,1.305,48,Google Translate
rasul,1.1886,48,Google Translate
bumi,0.7676,48,Google Translate
memenuhi,0.6282000000000001,48,Google Translate
kemenangan,0.619,48,Google Translate
bijaksana,0.5470999999999999,48,Google Translate
tinggalkanlah,0.5235000000000001,48,Google Translate
ampunan,0.5188,48,Google Translate
memerangi,0.4803,48,Google Translate
dengki,0.4711,48,Google Translate
berserah,2.1068,49,Google Translate
amalmu,2.059,49,Google Translate
berbangsa,1.477,49,Google Translate
beriman,1.0037,49,Google Translate
