Chapter,Verse,Google Translate,Kemenag,King Fahd,Fahd - Google,Kemenag - Google,Fahd - Kemenag,total,max sum
2,218,"Sesungguhnya orang-orang yang beriman, orang-orang yang berhijrah dan berjihad di jalan Allah, mereka mengharapkan rahmat Allah. Dan Allah Maha Pengampun lagi Maha Penyayang.","Sesungguhnya orang-orang yang beriman, dan orang-orang yang berhijrah dan berjihad di jalan Allah, mereka itulah yang mengharapkan rahmat Allah. Allah Maha Pengampun, Maha Penyayang.","Sesungguhnya orang-orang yang beriman, orang-orang yang berhijrah dan berjihad di jalan Allah, mereka itu mengharapkan rahmat Allah, dan Allah Maha Pengampun lagi Maha Penyayang.",0.9957648,0.98561126,0.9842963,1.981376,1.981376
3,131, Dan peliharalah dirimu dari api neraka yang disediakan untuk orang-orang kafir.,"Dan peliharalah dirimu dari api neraka, yang telah disiapkan untuk orang-orang kafir.","Dan peliharalah dirimu dari api neraka, yang disediakan untuk orang-orang yang kafir.",0.99038255,0.97330207,0.9795984,1.9636846,1.9636846
4,106, Dan mohonlah ampunan kepada Allah. Sesungguhnya Allah Maha Pengampun lagi Maha Penyayang.,"dan mohonkanlah ampunan kepada Allah. Sungguh, Allah Maha Pengampun, Maha Penyayang.",dan mohonlah ampun kepada Allah.  Sesungguhnya Allah Maha Pengampun lagi Maha Penyayang.,0.97792554,0.97439253,0.93255055,1.9523181,1.9523181
5,86," Dan orang-orang yang kafir dan mendustakan ayat-ayat Kami, mereka itu adalah penghuni neraka.","Dan orang-orang yang kafir serta mendustakan ayat-ayat Kami, mereka itulah penghuni neraka.","Dan orang-orang kafir serta mendustakan ayat-ayat Kami, mereka itulah penghuni neraka.",0.98522025,0.9911094,0.9967233,1.9763296,1.9763296
9,89," Allah telah menyediakan bagi mereka surga-surga yang mengalir di bawahnya sungai-sungai, dan mereka kekal di dalamnya. Itulah kemenangan yang agung.","Allah telah menyediakan bagi mereka surga yang mengalir di bawahnya sungai-sungai, mereka kekal di dalamnya. Itulah kemenangan yang agung.","Allah telah menyediakan bagi mereka surga yang mengalir di bawahnya sungai-sungai, mereka kekal di dalamnya.  Itulah kemenangan yang besar.",0.9834587,0.99294925,0.9914454,1.976408,1.976408
24,34,"Dan sungguh, Kami telah turunkan kepadamu ayat-ayat yang menjelaskan kepadamu, dan contoh dari orang-orang terdahulu sebelum kamu, dan pelajaran bagi orang-orang yang bertakwa.","Dan sungguh, Kami telah menurunkan kepada kamu ayat-ayat yang memberi penjelasan, dan contoh-contoh dari orang-orang yang terdahulu sebelum kamu dan sebagai pelajaran bagi orang-orang yang bertakwa.",Dan sesungguhnya Kami telah menurunkan kepada kamu ayat-ayat yang memberi penerangan dan contoh-contoh dari orang-orang yang terdahulu sebelum kamu dan pelajaran bagi orang-orang yang bertakwa.,0.9306104,0.96323174,0.9655721,1.8938422,1.8938422
33,3," Dan bertawakallah kepada Allah, dan cukuplah Allah sebagai Pemelihara.",dan bertawakallah kepada Allah. Dan cukuplah Allah sebagai Pemelihara.,dan bertawakallah kepada Allah.  Dan cukuplah Allah sebagai Pemelihara.,0.9936719,0.9936719,1.0,1.9873438,1.9873438
47,36," Kehidupan dunia ini hanyalah permainan dan senda gurau. Tetapi jika kamu beriman dan bertakwa kepada Allah, niscaya Dia akan memberimu pahala dan tidak akan meminta hartamu.","Sesungguhnya kehidupan dunia itu hanyalah permainan dan senda gurau. Jika kamu beriman serta bertakwa, Allah akan memberikan pahala kepadamu, dan Dia tidak akan meminta hartamu.","Sesungguhnya kehidupan dunia hanyalah permainan dan senda gurau.  Dan jika kamu beriman serta bertakwa, Allah akan memberikan pahala kepadamu dan Dia tidak akan meminta harta-hartamu.",0.97258997,0.9760369,0.9854903,1.9486269,1.9486269
48,1, Sesungguhnya Kami telah memberikan kemenangan yang nyata kepadamu.,"Sungguh, Kami telah memberikan kepadamu kemenangan yang nyata.","Sesungguhnya Kami telah memberikan kepadamu kemenangan yang nyata,",0.9880537,0.98073053,0.9848565,1.9687842,1.9687842
49,18, Sesungguhnya Allah mengetahui apa yang gaib di langit dan di bumi. Dan Allah Maha Melihat apa yang kamu kerjakan.,"Sungguh, Allah mengetahui apa yang gaib di langit dan di bumi. Dan Allah Maha Melihat apa yang kamu kerjakan.",Sesungguhnya Allah mengetahui apa yang gaib di langit dan bumi.  Dan Allah Maha Melihat apa yang kamu kerjakan.,0.998516,0.98637176,0.98424715,1.9848878,1.9848878
