Chapter,Verse,King Fahd,Kemenag,Google Translator,Fahd - Google,Kemenag - Google,Fahd - Kemenag
2,1,Alif Lām Mīm.,Alif Lām Mīm.,nyeri,0.010567216,0.010567216,0.9999999
2,2,"Kitab (Al-Qur`ān) ini tidak ada keraguan padanya; petunjuk bagi mereka yang bertakwa,","Kitab (Alquran) ini tidak ada keraguan padanya; petunjuk bagi mereka yang bertakwa,","Itu adalah Tuhan, tidak ada keraguan ۛ di dalamnya ۛ dipandu kepada orang benar.",0.33815664,0.3387853,0.962244
2,3,"(yaitu) mereka yang beriman kepada yang gaib, yang mendirikan salat, dan menafkahkan sebagian rezeki yang Kami anugerahkan kepada mereka,","(Yaitu) mereka yang beriman kepada yang gaib, melaksanakan salat, dan menginfakkan sebagian rezeki yang Kami berikan kepada mereka,",Mereka yang percaya pada yang tidak terlihat dan mengevaluasi kenaikan,0.35473132,0.38083982,0.9755671
2,4,"dan mereka yang beriman kepada Kitab (Al-Qur`ān) yang telah diturunkan kepadamu dan kitab-kitab yang telah diturunkan sebelummu, serta mereka yakin akan adanya (kehidupan) akhirat.","dan mereka beriman kepada (Alquran) yang diturunkan kepadamu (Muhammad) dan (kitab-kitab) yang telah diturunkan sebelum engkau, dan mereka yakin akan adanya akhirat.",Dan mereka yang percaya pada apa yang saya datangi kepada Anda dan apa yang telah saya ungkapkan di hadapan Anda dan dengan kemewahan mereka pasti,0.60068715,0.6140148,0.920318
2,5,"Mereka itulah yang tetap mendapat petunjuk dari Tuhan mereka, dan merekalah orang-orang yang beruntung.","Merekalah yang mendapat petunjuk dari Tuhannya, dan mereka itulah orang-orang yang beruntung.",Itulah bimbingan dari Tuhan mereka 😂 dan mereka yang adalah orang -orang,0.5594194,0.55285096,0.9327805
2,6,"Sesungguhnya orang-orang kafir, sama saja bagi mereka, kamu beri peringatan atau tidak kamu beri peringatan, mereka tidak akan beriman.","Sesungguhnya orang-orang kafir, sama saja bagi mereka, engkau (Muhammad) beri peringatan atau tidak engkau beri peringatan, mereka tidak akan beriman.","Bagi mereka yang tidak percaya diri, saya memperingatkan mereka, atau apakah Anda tidak memperingatkan mereka, mereka tidak akan percaya",0.53000057,0.5198855,0.9770538
2,7,"Allah telah mengunci mati hati dan pendengaran mereka, dan penglihatan mereka ditutup.  Dan bagi mereka siksa yang amat berat.","Allah telah mengunci hati dan pendengaran mereka, penglihatan mereka telah tertutup, dan mereka akan mendapat azab yang berat.",Tuhan telah melihat hati dan pendengaran mereka 😂 dan Bridalness mereka ۖ dan Bridalness mereka tentang mereka ۖ dan mereka memiliki siksaan besar,0.59345675,0.5897739,0.8069666
2,8,"Di antara manusia ada yang mengatakan, ""Kami beriman kepada Allah dan hari kemudian"", padahal mereka itu sesungguhnya bukan orang-orang yang beriman.","Dan di antara manusia ada yang berkata, ""Kami beriman kepada Allah dan hari akhir,"" padahal sesungguhnya mereka itu bukanlah orang-orang yang beriman.",Dan di antara orang -orang yang mengatakan kepada kita dengan Tuhan dan pada hari itu,0.5075322,0.54278797,0.91162807
2,9,"Mereka hendak menipu Allah dan orang-orang yang beriman, padahal mereka hanya menipu dirinya sendiri sedang mereka tidak sadar.","Mereka menipu Allah dan orang-orang yang beriman, padahal mereka hanyalah menipu diri sendiri tanpa mereka sadari.",Mereka memanggil Tuhan dan mereka yang percaya,0.5636611,0.54130214,0.86686355
2,10,"Dalam hati mereka ada penyakit, lalu ditambah Allah penyakitnya; dan bagi mereka siksa yang pedih disebabkan mereka berdusta.","Dalam hati mereka terdapat penyakit, lalu Allah menambah penyakitnya itu; dan mereka mendapat azab yang pedih, karena mereka berdusta.","Dalam hati mereka, mereka sakit, dan Tuhan meningkatkan mereka.",0.7339983,0.75264883,0.90478283
