teks,amarah,antisipasi,menjijikkan,takut,sukacita,Cinta,optimisme,pesimisme,kesedihan,kejutan,memercayai
Bertasbih kepada Allah apa saja yang ada di langit dan apa saja yang ada di bumi; dan Dia-lah Yang Maha Perkasa lagi Maha Bijaksana.,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Hai orang-orang yang beriman, mengapa kamu mengatakan apa yang tidak kamu perbuat?",0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
Amat besar kebencian di sisi Allah bahwa kamu mengatakan apa-apa yang tiada kamu kerjakan.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Sesungguhnya Allah menyukai orang yang berperang dijalan-Nya dalam barisan yang teratur seakan-akan mereka seperti suatu bangunan yang tersusun kukuh.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Dan (ingatlah) ketika Musa berkata kepada kaumnya, ""Hai kaumku, mengapa kamu menyakitiku, sedangkan kamu mengetahui bahwa sesungguhnya aku adalah utusan Allah kepadamu?"" Maka tatkala mereka berpaling (dari kebenaran), Allah memalingkan hati mereka; dan Allah tiada memberi petunjuk kepada kaum yang fasik.",1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
"Dan (ingatlah) ketika ʻIsa putra Maryam berkata, ""Hai Bani Isrā`īl, sesungguhnya aku adalah utusan Allah kepadamu, membenarkan kitab (yang turun) sebelumku, yaitu Taurat, dan memberi kabar gembira dengan (datangnya) seorang rasul yang akan datang sesudahku, yang namanya Ahmad (Muhammad)"".  Maka tatkala rasul itu datang kepada mereka dengan membawa bukti-bukti yang nyata, mereka berkata, ""Ini adalah sihir yang nyata"".",1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Dan siapakah yang lebih zalim daripada orang yang mengada-adakan dusta terhadap Allah sedang dia diajak kepada Islam? Dan Allah tiada memberi petunjuk kepada orang-orang zalim.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
"Mereka ingin hendak memadamkan cahaya (agama) Allah dengan mulut (ucapan-ucapan) mereka, dan Allah tetap menyempurnakan cahaya-Nya, walau orang-orang kafir benci.",0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Dia-lah yang mengutus rasul-Nya dengan membawa petunjuk dan agama yang benar agar Dia memenangkannya di atas segala agama-agama meskipun orang musyrik benci.,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
"Hai orang-orang yang beriman, sukakah kamu aku tunjukkan suatu perniagaan yang dapat menyelamatkanmu dari azab yang pedih?",1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
"(yaitu) kamu beriman kepada Allah dan rasul-Nya dan berjihad di jalan Allah dengan harta dan jiwamu.  Itulah yang lebih baik bagi kamu, jika kamu mengetahui,",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
"niscaya Allah akan mengampuni dosa-dosamu dan memasukkanmu ke dalam surga yang mengalir di bawahnya sungai-sungai, dan (memasukkan kamu) ke tempat tinggal yang baik di dalam surga ʻAdn.  Itulah keberuntungan yang besar.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Dan (ada lagi) karunia yang lain yang kamu sukai, (yaitu) pertolongan dari Allah dan kemenangan yang dekat (waktunya).  Dan sampaikanlah berita gembira kepada orang-orang yang beriman.",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
"Hai orang-orang yang beriman, jadilah kamu penolong-penolong (agama) Allah sebagaimana ʻIsa putra Maryam telah berkata kepada pengikut-pengikutnya yang setia, ""Siapakah yang akan menjadi penolong-penolongku (untuk menegakkan agama) Allah?"" Pengikut-pengikut yang setia itu berkata, ""Kamilah penolong-penolong agama Allah"", lalu segolongan dari Bani Isrā`īl beriman dan segolongan lain kafir; maka Kami berikan kekuatan kepada orang-orang yang beriman terhadap musuh-musuh mereka, lalu mereka menjadi orang-orang yang menang.",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
