,Chapter,Verse,Google Translate,Kemenag,King Fahd,Fahd - Google,Kemenag - Google,Fahd - Kemenag,total,max sum
5,2,6," Sesungguhnya orang-orang kafir, sama saja bagi mereka, kamu beri peringatan atau tidak kamu beri peringatan, mereka tidak akan beriman.","Sesungguhnya orang-orang kafir, sama saja bagi mereka, engkau (Muhammad) beri peringatan atau tidak engkau beri peringatan, mereka tidak akan beriman.","Sesungguhnya orang-orang kafir, sama saja bagi mereka, kamu beri peringatan atau tidak kamu beri peringatan, mereka tidak akan beriman.",0.9999999,0.97705376,0.97705376,1.9770536,1.9770536
416,3,131, Dan peliharalah dirimu dari api neraka yang disediakan untuk orang-orang kafir.,"Dan peliharalah dirimu dari api neraka, yang telah disiapkan untuk orang-orang kafir.","Dan peliharalah dirimu dari api neraka, yang disediakan untuk orang-orang yang kafir.",0.9929476,0.988078,0.9876022,1.9810256,1.9810256
553,4,68, Dan Kami tunjukkan mereka kepada jalan yang lurus.,dan pasti Kami tunjukan kepada mereka jalan yang lurus.,dan pasti Kami tunjuki mereka kepada jalan yang lurus.,0.9801542,0.95483804,0.9707972,1.9349923,1.9349923
747,5,86," Dan orang-orang yang kafir dan mendustakan ayat-ayat Kami, mereka itu adalah penghuni neraka.","Dan orang-orang yang kafir serta mendustakan ayat-ayat Kami, mereka itulah penghuni neraka.","Dan orang-orang kafir serta mendustakan ayat-ayat Kami, mereka itulah penghuni neraka.",0.98937726,0.99275887,0.99598634,1.9821361,1.9821361
870,9,89," Allah telah menyediakan bagi mereka surga-surga yang mengalir di bawahnya sungai-sungai, dan mereka kekal di dalamnya. Itulah kemenangan yang agung.","Allah telah menyediakan bagi mereka surga yang mengalir di bawahnya sungai-sungai, mereka kekal di dalamnya. Itulah kemenangan yang agung.","Allah telah menyediakan bagi mereka surga yang mengalir di bawahnya sungai-sungai, mereka kekal di dalamnya.  Itulah kemenangan yang besar.",0.95927006,0.98857915,0.97315294,1.9478493,1.9478493
944,24,34,"Dan sungguh, Kami telah turunkan kepadamu ayat-ayat yang menjelaskan kepadamu, dan contoh dari orang-orang terdahulu sebelum kamu, dan pelajaran bagi orang-orang yang bertakwa.","Dan sungguh, Kami telah menurunkan kepada kamu ayat-ayat yang memberi penjelasan, dan contoh-contoh dari orang-orang yang terdahulu sebelum kamu dan sebagai pelajaran bagi orang-orang yang bertakwa.",Dan sesungguhnya Kami telah menurunkan kepada kamu ayat-ayat yang memberi penerangan dan contoh-contoh dari orang-orang yang terdahulu sebelum kamu dan pelajaran bagi orang-orang yang bertakwa.,0.956758,0.9733873,0.95761657,1.9301453,1.9301453
1016,33,42,"Dan bertasbihlah kepada-Nya, pagi dan petang.",dan bertasbihlah kepada-Nya pada waktu pagi dan petang.,Dan bertasbihlah kepada-Nya pada waktu pagi dan petang.,0.9858861,0.9840131,0.99678457,1.9698992,1.9698992
1054,47,7,"Hai orang-orang yang beriman, jika kamu menolong Allah, niscaya Dia akan menolong kamu dan meneguhkan kedudukanmu.","Wahai orang-orang yang beriman! Jika kamu menolong (agama) Allah, niscaya Dia akan menolongmu dan meneguhkan kedudukanmu.","Hai orang-orang yang beriman, jika kamu menolong (agama) Allah, niscaya Dia akan menolongmu dan meneguhkan kedudukanmu.",0.9832543,0.9461926,0.95271397,1.9294469,1.9294469
1086,48,1, Sesungguhnya Kami telah memberikan kemenangan yang nyata kepadamu.,"Sungguh, Kami telah memberikan kepadamu kemenangan yang nyata.","Sesungguhnya Kami telah memberikan kepadamu kemenangan yang nyata,",0.9762755,0.9686836,0.953683,1.9449592,1.9449592
1132,49,18, Sesungguhnya Allah mengetahui apa yang gaib di langit dan di bumi. Dan Allah Maha Melihat apa yang kamu kerjakan.,"Sungguh, Allah mengetahui apa yang gaib di langit dan di bumi. Dan Allah Maha Melihat apa yang kamu kerjakan.",Sesungguhnya Allah mengetahui apa yang gaib di langit dan bumi.  Dan Allah Maha Melihat apa yang kamu kerjakan.,0.99851894,0.9872389,0.9869635,1.9857578,1.9857578
